1001,"1"" X 1"" MONO-SLOT T-SLOTTED EXTRUSION",IN,0.32
1001-145,"1"" X 1"" MONO-SLOT T-SLOTTED 145"" EXTRUSION",EA,48.44
1001-145-BLACK-FB,"1"" X 1"" MONO T-SLOT EXT 145"" BAR FULL BLACK ANODIZE",EA,101.15
1001-242,"1"" X 1"" MONO-SLOT T-SLOTTED 242"" EXTRUSION",EA,79.13
1001-242-BLACK-FB,"1"" X 1"" MONO T-SLOT EXT 242"" BAR FULL BLACK ANODIZE",EA,168.81
1001-BLACK-FB,"1"" X 1"" MONO T-SLOT EXT FULL BLACK ANODIZE",IN,0.71
1001-S,"1.0"" X 1.0"" MONO-SLOT T-SLOTTED EXTRUSION SMOOTH",IN,0.32
1001-S-145,"1.0"" X 1.0"" MONO-SLOT T-SLOTTED EXTRUSION SMOOTH 145"" BAR",EA,48.44
1001-S-145-BLACK-FB,"1.0"" X 1.0"" MONO-SLOT T-SLOTTED EXT SMOOTH 145"" BAR FULL BLACK",EA,101.15
1001-S-242,"1.0"" X 1.0"" MONO-SLOT T-SLOTTED EXTRUSION SMOOTH 242"" BAR",EA,79.13
1001-S-242-BLACK-FB,"1.0"" X 1.0"" MONO-SLOT T-SLOTTED EXT SMOOTH 242"" BAR FULL BLACK",EA,168.81
1001-S-BLACK-FB,"1.0"" X 1.0"" MONO-SLOT T-SLOTTED EXTRUSION SMOOTH FULL BLACK",IN,0.71
1002,"1"" X 1"" BI-SLOT ADJACENT T-SLOTTED EXTRUSION",IN,0.32
1002-145,"1"" X 1"" BI-SLOT ADJACENT T-SLOTTED 145"" EXTRUSION",EA,48.44
1002-145-BLACK-FB,"1"" X 1"" BI-ADJ T-SLOT EXT 145"" BAR FULL BLACK ANODIZE",EA,101.15
1002-242,"1"" X 1"" BI-SLOT ADJACENT T-SLOTTED 242"" EXTRUSION",EA,79.13
1002-242-BLACK-FB,"1"" X 1"" BI-ADJ T-SLOT EXT 242"" BAR FULL BLACK ANODIZE",EA,168.81
1002-BLACK-FB,"1"" X 1"" BI-ADJ T-SLOT EXT FULL BLACK ANODIZE",IN,0.71
1002-S,"1.0"" X 1.0"" BI-SLOT ADJACENT T-SLOTTED EXTRUSION SMOOTH",IN,0.32
1002-S-145,"1.0"" X 1.0"" BI-SLOT ADJACENT T-SLOTTED EXTRUSION SMOOTH 145""",EA,48.44
1002-S-145-BLACK-FB,"1.0"" X 1.0"" BI-SLOT ADJACENT T-SLOTTED EXT SMOOTH 145"" BAR FULL BLACK",EA,101.15
1002-S-242,"1.0"" X 1.0"" BI-SLOT ADJACENT T-SLOTTED EXTRUSION SMOOTH 242""",EA,79.13
1002-S-242-BLACK-FB,"1.0"" X 1.0"" BI-SLOT ADJACENT T-SLOTTED EXT SMOOTH 242"" BAR FULL BLACK",EA,168.81
1002-S-BLACK-FB,"1.0"" X 1.0"" BI-SLOT ADJACENT T-SLOTTED EXTRUSION SMOOTH FULL BLACK",IN,0.71
1003,"1"" X 1"" TRI-SLOT T-SLOTTED EXTRUSION",IN,0.32
1003-145,"1"" X 1"" TRI-SLOT T-SLOTTED 145"" EXTRUSION",EA,48.44
1003-145-BLACK-FB,"1"" X 1"" TRI-SLOT EXT 145"" BAR FULL BLACK ANODIZE",EA,101.15
1003-242,"1"" X 1"" TRI-SLOT T-SLOTTED 242"" EXTRUSION",EA,79.13
1003-242-BLACK-FB,"1"" X 1"" TRI-SLOT EXT 242"" BAR FULL BLACK ANODIZE",EA,168.81
1003-BLACK-FB,"1"" X 1"" TRI-SLOT EXT FULL BLACK ANODIZE",IN,0.71
1003-S,"1.0"" X 1.0"" TRI-SLOT T-SLOTTED EXTRUSION SMOOTH",IN,0.32
